"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007297","GO:0007297","ovarian follicle cell migration","13/541","128/10683",0.0127780486189339,0.0127780486189339,0.108631381589651,"tj/fz/grk/kay/ttk/N/apt/sosie/Krn/Ppcs/kug/kibra/stai",13
"GO:0048589","GO:0048589","developmental growth","28/541","355/10683",0.0132125638676679,0.0132125638676679,0.111898279543668,"arr/bi/eag/fkh/fz/gt/kay/pk/rut/tsl/ttk/hid/Ten-m/ey/gbb/sNPF/Dscam1/Hr51/Ilp2/Octbeta1R/dlp/metro/rdo/verm/kug/kibra/Tl/stai",28
"GO:0032101","GO:0032101","regulation of response to external stimulus","21/541","246/10683",0.013320859277835,0.013320859277835,0.112388110972484,"fz/kay/pk/ush/inaC/NetB/Lrpprc2/Spn27A/RluA-2/sNPF/Mmp2/Hr51/Toll-7/vvl/stops/dl/dnr1/rdgA/kug/Tl/rdgC",21
"GO:0050769","GO:0050769","positive regulation of neurogenesis","8/541","63/10683",0.0136710883355856,0.0136710883355856,0.114535600953595,"fz/pk/pros/N/klu/pyr/CG10257/Hr51",8
"GO:0007432","GO:0007432","salivary gland boundary specification","4/541","19/10683",0.0137296574583551,0.0137296574583551,0.114535600953595,"hth/mew/NetB/unc-5",4
"GO:0014019","GO:0014019","neuroblast development","4/541","19/10683",0.0137296574583551,0.0137296574583551,0.114535600953595,"D/numb/N/klu",4
"GO:0051046","GO:0051046","regulation of secretion","11/541","102/10683",0.0139435956026213,0.0139435956026213,0.115886285526892,"gbb/Rab27/JhI-21/CG9650/Rph/CG15399/cmpy/CG34402/corn/Sytbeta/Flo2",11
"GO:0008015","GO:0008015","blood circulation","5/541","29/10683",0.0141482170817051,0.0141482170817051,0.116715896081435,"eag/Crz/vri/AstC/Proc",5
"GO:0060047","GO:0060047","heart contraction","5/541","29/10683",0.0141482170817051,0.0141482170817051,0.116715896081435,"eag/Crz/vri/AstC/Proc",5
"GO:0007420","GO:0007420","brain development","12/541","116/10683",0.01431257737595,0.01431257737595,0.117636099155216,"D/hth/pros/rho/sim/ey/dac/toy/Dscam1/Hr51/Invadolysin/vvl",12
"GO:0009611","GO:0009611","response to wounding","12/541","117/10683",0.015242828054212,0.015242828054212,0.12482130093929,"Ddc/ed/kay/ple/Spn27A/CG7627/PPO2/Mmp2/Hr51/Tl/Sarm/Fhos",12
"GO:0007268","GO:0007268","chemical synaptic transmission","24/541","296/10683",0.0153702301852205,0.0153702301852205,0.124945858900985,"nAChRalpha1/ort/rut/Ten-m/Nmdar1/Dop1R1/apt/mGluR/gbb/Oamb/Rph/Rab3-GEF/nAChRalpha6/FMRFaR/unc-13-4A/SecCl/Dysb/CG34402/nAChRalpha7/Sytbeta/Slob/pHCl-1/Neto/Esyt2",24
"GO:0098916","GO:0098916","anterograde trans-synaptic signaling","24/541","296/10683",0.0153702301852205,0.0153702301852205,0.124945858900985,"nAChRalpha1/ort/rut/Ten-m/Nmdar1/Dop1R1/apt/mGluR/gbb/Oamb/Rph/Rab3-GEF/nAChRalpha6/FMRFaR/unc-13-4A/SecCl/Dysb/CG34402/nAChRalpha7/Sytbeta/Slob/pHCl-1/Neto/Esyt2",24
"GO:0002221","GO:0002221","pattern recognition receptor signaling pathway","3/541","11/10683",0.0157084836295903,0.0157084836295903,0.124959215639898,"Toll-7/Tl/Sarm",3
"GO:0007380","GO:0007380","specification of segmental identity, head","3/541","11/10683",0.0157084836295903,0.0157084836295903,0.124959215639898,"gt/hth/kn",3
"GO:0008585","GO:0008585","female gonad development","3/541","11/10683",0.0157084836295903,0.0157084836295903,0.124959215639898,"tj/inaC/Wnt4",3
"GO:0043433","GO:0043433","negative regulation of DNA-binding transcription factor activity","3/541","11/10683",0.0157084836295903,0.0157084836295903,0.124959215639898,"tup/ush/melt",3
"GO:0046545","GO:0046545","development of primary female sexual characteristics","3/541","11/10683",0.0157084836295903,0.0157084836295903,0.124959215639898,"tj/inaC/Wnt4",3
"GO:2000035","GO:2000035","regulation of stem cell division","3/541","11/10683",0.0157084836295903,0.0157084836295903,0.124959215639898,"N/klu/rdo",3
"GO:0120035","GO:0120035","regulation of plasma membrane bounded cell projection organization","14/541","146/10683",0.0159983112700316,0.0159983112700316,0.126485470269251,"fz/kn/pk/pros/N/Galphaf/Ret/NetB/Dscam1/Hr51/Trim9/vvl/kug/Flo2",14
"GO:0010453","GO:0010453","regulation of cell fate commitment","5/541","30/10683",0.0162898995207156,0.0162898995207156,0.126485470269251,"ed/hth/ttk/N/sv",5
"GO:0044106","GO:0044106","cellular amine metabolic process","5/541","30/10683",0.0162898995207156,0.0162898995207156,0.126485470269251,"Ddc/ple/PPO2/Dysb/PPO3",5
"GO:0045465","GO:0045465","R8 cell differentiation","5/541","30/10683",0.0162898995207156,0.0162898995207156,0.126485470269251,"ed/tld/melt/gbb/kibra",5
"GO:0046661","GO:0046661","male sex differentiation","5/541","30/10683",0.0162898995207156,0.0162898995207156,0.126485470269251,"tj/N/ken/Myo31DF/otk2",5
"GO:0008355","GO:0008355","olfactory learning","6/541","41/10683",0.0162978560817161,0.0162978560817161,0.126485470269251,"rut/Nmdar1/Dop1R1/Oamb/Dysb/Krn",6
"GO:0008407","GO:0008407","chaeta morphogenesis","6/541","41/10683",0.0162978560817161,0.0162978560817161,0.126485470269251,"rst/tup/N/vri/sns/jv",6
"GO:0002118","GO:0002118","aggressive behavior","4/541","20/10683",0.0164901497286305,0.0164901497286305,0.127092175653914,"TkR86C/twz/Tk/TfAP-2",4
"GO:0045464","GO:0045464","R8 cell fate specification","4/541","20/10683",0.0164901497286305,0.0164901497286305,0.127092175653914,"tld/melt/gbb/kibra",4
"GO:0001558","GO:0001558","regulation of cell growth","9/541","78/10683",0.0166550990648844,0.0166550990648844,0.127920833471127,"fkh/fz/pk/ey/FarO/Hr51/Ilp2/cmpy/Tl",9
"GO:0045893","GO:0045893","positive regulation of DNA-templated transcription","31/541","412/10683",0.0175440559207745,0.0175440559207745,0.133368860529401,"bi/D/fkh/tj/hth/kay/kn/ttk/tup/ush/pros/N/sim/ey/sv/byn/apt/toy/SoxN/Hr51/e(y)2b/Sox21b/CG31008/vvl/dl/TfAP-2/trh/CG9932/Tl/Tet/rgr",31
"GO:1902680","GO:1902680","positive regulation of RNA biosynthetic process","31/541","412/10683",0.0175440559207745,0.0175440559207745,0.133368860529401,"bi/D/fkh/tj/hth/kay/kn/ttk/tup/ush/pros/N/sim/ey/sv/byn/apt/toy/SoxN/Hr51/e(y)2b/Sox21b/CG31008/vvl/dl/TfAP-2/trh/CG9932/Tl/Tet/rgr",31
"GO:1903508","GO:1903508","positive regulation of nucleic acid-templated transcription","31/541","412/10683",0.0175440559207745,0.0175440559207745,0.133368860529401,"bi/D/fkh/tj/hth/kay/kn/ttk/tup/ush/pros/N/sim/ey/sv/byn/apt/toy/SoxN/Hr51/e(y)2b/Sox21b/CG31008/vvl/dl/TfAP-2/trh/CG9932/Tl/Tet/rgr",31
"GO:0007442","GO:0007442","hindgut morphogenesis","7/541","54/10683",0.0184552951997555,0.0184552951997555,0.139818849418842,"D/fkh/rho/N/byn/kug/trh",7
"GO:0009308","GO:0009308","amine metabolic process","5/541","31/10683",0.0186367358653499,0.0186367358653499,0.140714837077896,"Ddc/ple/PPO2/Dysb/PPO3",5
"GO:0035218","GO:0035218","leg disc development","10/541","93/10683",0.0189387254023931,0.0189387254023931,0.142483590587153,"arr/hth/Poxn/rho/N/dac/GEFmeso/CG42674/TfAP-2/rn",10
"GO:0042592","GO:0042592","homeostatic process","32/541","431/10683",0.0189989343497946,0.0189989343497946,0.142483590587153,"fz/MtnA/ptc/tup/ush/mew/rho/N/ey/Lac/Nmdar1/Wnt4/Dop1R1/Oamb/JhI-21/CG17841/nAChRalpha6/Trpgamma/Ilp2/MCU/ClC-a/NLaz/LpR1/Ndae1/Jabba/Pdfr/Ppcs/rdgA/Trpm/mbl/Fhos/Dop1R2",32
"GO:0007460","GO:0007460","R8 cell fate commitment","4/541","21/10683",0.0195742331980004,0.0195742331980004,0.144367645336246,"tld/melt/gbb/kibra",4
"GO:0009649","GO:0009649","entrainment of circadian clock","4/541","21/10683",0.0195742331980004,0.0195742331980004,0.144367645336246,"hid/cry/Rh7/timeout",4
"GO:0016360","GO:0016360","sensory organ precursor cell fate determination","4/541","21/10683",0.0195742331980004,0.0195742331980004,0.144367645336246,"fz/numb/N/klu",4
"GO:0035287","GO:0035287","head segmentation","4/541","21/10683",0.0195742331980004,0.0195742331980004,0.144367645336246,"gt/hth/kn/apt",4
"GO:0060582","GO:0060582","cell fate determination involved in pattern specification","4/541","21/10683",0.0195742331980004,0.0195742331980004,0.144367645336246,"fz/numb/N/klu",4
"GO:0031344","GO:0031344","regulation of cell projection organization","14/541","150/10683",0.0198074747895711,0.0198074747895711,0.145391339557636,"fz/kn/pk/pros/N/Galphaf/Ret/NetB/Dscam1/Hr51/Trim9/vvl/kug/Flo2",14
"GO:0016486","GO:0016486","peptide hormone processing","3/541","12/10683",0.0201699563927902,0.0201699563927902,0.145391339557636,"Fur1/rho/Spn42Da",3
"GO:0032924","GO:0032924","activin receptor signaling pathway","3/541","12/10683",0.0201699563927902,0.0201699563927902,0.145391339557636,"tld/tok/Fs",3
"GO:0035160","GO:0035160","maintenance of epithelial integrity, open tracheal system","3/541","12/10683",0.0201699563927902,0.0201699563927902,0.145391339557636,"mew/rho/Lac",3
"GO:0043153","GO:0043153","entrainment of circadian clock by photoperiod","3/541","12/10683",0.0201699563927902,0.0201699563927902,0.145391339557636,"hid/cry/Rh7",3
"GO:0061318","GO:0061318","renal filtration cell differentiation","3/541","12/10683",0.0201699563927902,0.0201699563927902,0.145391339557636,"numb/sns/pyr",3
"GO:0061319","GO:0061319","nephrocyte differentiation","3/541","12/10683",0.0201699563927902,0.0201699563927902,0.145391339557636,"numb/sns/pyr",3
"GO:0002682","GO:0002682","regulation of immune system process","20/541","241/10683",0.0204106827585226,0.0204106827585226,0.146651968478892,"fz/kay/kn/ush/N/Galphaf/Wnt4/Spn27A/RluA-2/Mmp2/CG10764/Toll-7/pxb/vvl/dl/mfas/dnr1/kug/Tl/Sarm",20
"GO:0001709","GO:0001709","cell fate determination","12/541","122/10683",0.0205966094925159,0.0205966094925159,0.147512017891906,"fz/numb/tsl/tup/pros/rho/N/msi/byn/klu/hdm/trh",12
"GO:0007173","GO:0007173","epidermal growth factor receptor signaling pathway","8/541","68/10683",0.0209726903739642,0.0209726903739642,0.148929200971541,"ed/grk/ttk/rho/kek1/Krn/PVRAP/CG33993",8
"GO:0038127","GO:0038127","ERBB signaling pathway","8/541","68/10683",0.0209726903739642,0.0209726903739642,0.148929200971541,"ed/grk/ttk/rho/kek1/Krn/PVRAP/CG33993",8
"GO:0007417","GO:0007417","central nervous system development","22/541","273/10683",0.0210372139624889,0.0210372139624889,0.148929200971541,"D/hth/kn/sr/pros/rho/sim/ey/Psc/dac/cnn/apt/toy/gbb/SoxN/Dscam1/Mmp2/Hr51/danr/nolo/Invadolysin/vvl",22
"GO:0071310","GO:0071310","cellular response to organic substance","27/541","353/10683",0.0211902938669436,0.0211902938669436,0.148929200971541,"fkh/Hsp68/tld/tok/Galphaf/Dop1R1/Hsp70Ba/Crz/melt/gbb/brk/JhI-21/CG15399/Mmp2/pyr/Dh44-R2/Chd64/Snmp2/Ilp2/cmpy/TyrR/dlp/Ilp7/Fs/Tl/rdx/Dop1R2",27
"GO:0006821","GO:0006821","chloride transport","5/541","32/10683",0.0211956658187995,0.0211956658187995,0.148929200971541,"ort/SecCl/ClC-a/Ndae1/pHCl-1",5
"GO:0072499","GO:0072499","photoreceptor cell axon guidance","5/541","32/10683",0.0211956658187995,0.0211956658187995,0.148929200971541,"NetB/caps/erm/DIP-gamma/dpr11",5
"GO:0051961","GO:0051961","negative regulation of nervous system development","9/541","82/10683",0.022434262632312,0.022434262632312,0.152762168133286,"ed/numb/pros/N/hdc/Spn/erm/Octbeta1R/kibra",9
"GO:0007483","GO:0007483","genital disc morphogenesis","4/541","22/10683",0.0229911095797236,0.0229911095797236,0.152762168133286,"N/dac/Myo31DF/otk2",4
"GO:0019935","GO:0019935","cyclic-nucleotide-mediated signaling","4/541","22/10683",0.0229911095797236,0.0229911095797236,0.152762168133286,"Gycbeta100B/CG10738/Gyc88E/CG34357",4
"GO:0030539","GO:0030539","male genitalia development","4/541","22/10683",0.0229911095797236,0.0229911095797236,0.152762168133286,"N/ken/Myo31DF/otk2",4
"GO:0045610","GO:0045610","regulation of hemocyte differentiation","4/541","22/10683",0.0229911095797236,0.0229911095797236,0.152762168133286,"kn/ush/N/dl",4
"GO:0006117","GO:0006117","acetaldehyde metabolic process","2/541","5/10683",0.0231128582834932,0.0231128582834932,0.152762168133286,"Aldh/Crz",2
"GO:0007205","GO:0007205","protein kinase C-activating G protein-coupled receptor signaling pathway","2/541","5/10683",0.0231128582834932,0.0231128582834932,0.152762168133286,"CG34384/rdgA",2
"GO:0007521","GO:0007521","muscle cell fate determination","2/541","5/10683",0.0231128582834932,0.0231128582834932,0.152762168133286,"tup/N",2
"GO:0010378","GO:0010378","temperature compensation of the circadian clock","2/541","5/10683",0.0231128582834932,0.0231128582834932,0.152762168133286,"tilB/eys",2
"GO:0010811","GO:0010811","positive regulation of cell-substrate adhesion","2/541","5/10683",0.0231128582834932,0.0231128582834932,0.152762168133286,"Ret/Fhos",2
"GO:0010840","GO:0010840","regulation of circadian sleep/wake cycle, wakefulness","2/541","5/10683",0.0231128582834932,0.0231128582834932,0.152762168133286,"Oamb/Dh31",2
"GO:0010841","GO:0010841","positive regulation of circadian sleep/wake cycle, wakefulness","2/541","5/10683",0.0231128582834932,0.0231128582834932,0.152762168133286,"Oamb/Dh31",2
"GO:0032370","GO:0032370","positive regulation of lipid transport","2/541","5/10683",0.0231128582834932,0.0231128582834932,0.152762168133286,"CG17597/LpR2",2
"GO:0042679","GO:0042679","compound eye cone cell fate specification","2/541","5/10683",0.0231128582834932,0.0231128582834932,0.152762168133286,"ttk/sv",2
"GO:0042682","GO:0042682","regulation of compound eye cone cell fate specification","2/541","5/10683",0.0231128582834932,0.0231128582834932,0.152762168133286,"ttk/sv",2
"GO:0042746","GO:0042746","circadian sleep/wake cycle, wakefulness","2/541","5/10683",0.0231128582834932,0.0231128582834932,0.152762168133286,"Oamb/Dh31",2
"GO:0046834","GO:0046834","lipid phosphorylation","2/541","5/10683",0.0231128582834932,0.0231128582834932,0.152762168133286,"CG34384/rdgA",2
"GO:0048052","GO:0048052","R1/R6 cell differentiation","2/541","5/10683",0.0231128582834932,0.0231128582834932,0.152762168133286,"ttk/N",2
"GO:0071927","GO:0071927","octopamine signaling pathway","2/541","5/10683",0.0231128582834932,0.0231128582834932,0.152762168133286,"twz/TfAP-2",2
"GO:2001236","GO:2001236","regulation of extrinsic apoptotic signaling pathway","2/541","5/10683",0.0231128582834932,0.0231128582834932,0.152762168133286,"Rab3-GEF/CG10257",2
"GO:0002684","GO:0002684","positive regulation of immune system process","11/541","110/10683",0.023303242179146,0.023303242179146,0.153564809875655,"kay/ush/N/Galphaf/RluA-2/Mmp2/Toll-7/vvl/dl/kug/Tl",11
"GO:0048568","GO:0048568","embryonic organ development","7/541","57/10683",0.0242174646570986,0.0242174646570986,0.159118631313214,"numb/tup/N/jumu/gbb/Mmp2/Pvf3",7
"GO:0002168","GO:0002168","instar larval development","8/541","70/10683",0.0245497042796813,0.0245497042796813,0.160255050430884,"D/fz/rho/trn/caps/gbb/SoxN/verm",8
"GO:0030537","GO:0030537","larval behavior","6/541","45/10683",0.024933052570818,0.024933052570818,0.160255050430884,"klu/sNPF/FMRFaR/Ilp2/NPFR/MsR2",6
"GO:0001941","GO:0001941","postsynaptic membrane organization","3/541","13/10683",0.0252538027250369,0.0252538027250369,0.160255050430884,"Ten-m/Fur1/Neto",3
"GO:0007615","GO:0007615","anesthesia-resistant memory","3/541","13/10683",0.0252538027250369,0.0252538027250369,0.160255050430884,"Ddc/rut/MCU",3
"GO:0009648","GO:0009648","photoperiodism","3/541","13/10683",0.0252538027250369,0.0252538027250369,0.160255050430884,"hid/cry/Rh7",3
"GO:0035289","GO:0035289","posterior head segmentation","3/541","13/10683",0.0252538027250369,0.0252538027250369,0.160255050430884,"gt/kn/apt",3
"GO:0040015","GO:0040015","negative regulation of multicellular organism growth","3/541","13/10683",0.0252538027250369,0.0252538027250369,0.160255050430884,"fkh/gt/Tl",3
"GO:0048634","GO:0048634","regulation of muscle organ development","3/541","13/10683",0.0252538027250369,0.0252538027250369,0.160255050430884,"rst/gbb/Him",3
"GO:0051224","GO:0051224","negative regulation of protein transport","3/541","13/10683",0.0252538027250369,0.0252538027250369,0.160255050430884,"rho/cmpy/rdx",3
"GO:0099558","GO:0099558","maintenance of synapse structure","3/541","13/10683",0.0252538027250369,0.0252538027250369,0.160255050430884,"Ten-m/gbb/CG31475",3
"GO:0140448","GO:0140448","signaling receptor ligand precursor processing","3/541","13/10683",0.0252538027250369,0.0252538027250369,0.160255050430884,"Fur1/rho/Spn42Da",3
"GO:1904950","GO:1904950","negative regulation of establishment of protein localization","3/541","13/10683",0.0252538027250369,0.0252538027250369,0.160255050430884,"rho/cmpy/rdx",3
"GO:0042387","GO:0042387","plasmatocyte differentiation","4/541","23/10683",0.0267482077227261,0.0267482077227261,0.169256003412944,"kn/ush/N/pyr",4
"GO:0007379","GO:0007379","segment specification","5/541","34/10683",0.0269743248917015,0.0269743248917015,0.169722484302232,"gt/hth/kn/danr/dlp",5
"GO:0017157","GO:0017157","regulation of exocytosis","5/541","34/10683",0.0269743248917015,0.0269743248917015,0.169722484302232,"Rab27/Rph/CG15399/corn/Sytbeta",5
"GO:0051960","GO:0051960","regulation of nervous system development","17/541","202/10683",0.027485821078481,0.027485821078481,0.171517724995531,"ed/fz/numb/pk/pros/N/hdc/Spn/klu/gbb/SoxN/erm/pyr/CG10257/Hr51/Octbeta1R/kibra",17
"GO:0007365","GO:0007365","periodic partitioning","6/541","46/10683",0.0274906599396193,0.0274906599396193,0.171517724995531,"arr/fz/kn/SoxN/dlp/rdx",6
"GO:0050770","GO:0050770","regulation of axonogenesis","6/541","46/10683",0.0274906599396193,0.0274906599396193,0.171517724995531,"fz/pk/pros/Dscam1/Hr51/Trim9",6
"GO:0018958","GO:0018958","phenol-containing compound metabolic process","8/541","72/10683",0.0285332712328178,0.0285332712328178,0.177525439366782,"Ddc/ple/Spn27A/PPO2/Dysb/dl/PPO3/Flo2",8
"GO:0034220","GO:0034220","ion transmembrane transport","25/541","330/10683",0.0286811339769741,0.0286811339769741,0.177948334541203,"nAChRalpha1/eag/ort/NaPi-T/JhI-21/SK/CG13796/nAChRalpha6/MRP/Trpgamma/Irk3/SecCl/ppk30/MCU/ClC-a/Shawl/nAChRalpha7/Ndae1/CG42340/Ca-Ma2d/Ca-alpha1T/pHCl-1/ppk18/Trpm/Neto",25
"GO:0001700","GO:0001700","embryonic development via the syncytial blastoderm","14/541","159/10683",0.0308388664807057,0.0308388664807057,0.188783034821602,"ed/kay/kn/sr/Btk29A/tup/ush/hid/rho/N/jumu/sns/gbb/scyl",14
"GO:0008052","GO:0008052","sensory organ boundary specification","4/541","24/10683",0.0308512161820936,0.0308512161820936,0.188783034821602,"fz/numb/N/klu",4
"GO:0009629","GO:0009629","response to gravity","4/541","24/10683",0.0308512161820936,0.0308512161820936,0.188783034821602,"cry/CCDC151/CG34353/Pdfr",4
"GO:0035050","GO:0035050","embryonic heart tube development","4/541","24/10683",0.0308512161820936,0.0308512161820936,0.188783034821602,"numb/tup/jumu/Mmp2",4
"GO:0042332","GO:0042332","gravitaxis","4/541","24/10683",0.0308512161820936,0.0308512161820936,0.188783034821602,"cry/CCDC151/CG34353/Pdfr",4
"GO:0017156","GO:0017156","calcium-ion regulated exocytosis","3/541","14/10683",0.0309590417426583,0.0309590417426583,0.188923813489445,"Rph/CG31475/Sytbeta",3
"GO:0002252","GO:0002252","immune effector process","11/541","116/10683",0.0328596696725428,0.0328596696725428,0.195290131232117,"kay/ush/Spn27A/PPO2/Toll-7/vvl/dl/dnr1/PPO3/Tl/Flo2",11
"GO:0010632","GO:0010632","regulation of epithelial cell migration","6/541","48/10683",0.0331120594507677,0.0331120594507677,0.195290131232117,"grk/kay/ttk/ptc/ple/Krn",6
"GO:0055074","GO:0055074","calcium ion homeostasis","6/541","48/10683",0.0331120594507677,0.0331120594507677,0.195290131232117,"Nmdar1/Dop1R1/Oamb/Trpgamma/MCU/Dop1R2",6
"GO:0002213","GO:0002213","defense response to insect","2/541","6/10683",0.0335180245292416,0.0335180245292416,0.195290131232117,"N/Spn27A",2
"GO:0006939","GO:0006939","smooth muscle contraction","2/541","6/10683",0.0335180245292416,0.0335180245292416,0.195290131232117,"Chd64/Tk",2
"GO:0007319","GO:0007319","negative regulation of oskar mRNA translation","2/541","6/10683",0.0335180245292416,0.0335180245292416,0.195290131232117,"heph/apt",2
"GO:0009713","GO:0009713","catechol-containing compound biosynthetic process","2/541","6/10683",0.0335180245292416,0.0335180245292416,0.195290131232117,"Ddc/ple",2
"GO:0032351","GO:0032351","negative regulation of hormone metabolic process","2/541","6/10683",0.0335180245292416,0.0335180245292416,0.195290131232117,"AstC/Spn42Da",2
"GO:0042423","GO:0042423","catecholamine biosynthetic process","2/541","6/10683",0.0335180245292416,0.0335180245292416,0.195290131232117,"Ddc/ple",2
"GO:0042676","GO:0042676","compound eye cone cell fate commitment","2/541","6/10683",0.0335180245292416,0.0335180245292416,0.195290131232117,"ttk/sv",2
"GO:0045612","GO:0045612","positive regulation of hemocyte differentiation","2/541","6/10683",0.0335180245292416,0.0335180245292416,0.195290131232117,"N/dl",2
"GO:0045921","GO:0045921","positive regulation of exocytosis","2/541","6/10683",0.0335180245292416,0.0335180245292416,0.195290131232117,"Rab27/corn",2
"GO:0046339","GO:0046339","diacylglycerol metabolic process","2/541","6/10683",0.0335180245292416,0.0335180245292416,0.195290131232117,"CG34384/rdgA",2
"GO:0046665","GO:0046665","amnioserosa maintenance","2/541","6/10683",0.0335180245292416,0.0335180245292416,0.195290131232117,"tup/ush",2
"GO:0061382","GO:0061382","Malpighian tubule tip cell differentiation","2/541","6/10683",0.0335180245292416,0.0335180245292416,0.195290131232117,"numb/N",2
"GO:0097688","GO:0097688","glutamate receptor clustering","2/541","6/10683",0.0335180245292416,0.0335180245292416,0.195290131232117,"Fur1/Neto",2
"GO:0045596","GO:0045596","negative regulation of cell differentiation","9/541","88/10683",0.0336013723591377,0.0336013723591377,0.195290131232117,"ed/numb/ttk/ush/pros/N/hdc/erm/kibra",9
"GO:0090100","GO:0090100","positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","5/541","36/10683",0.033668166291813,0.033668166291813,0.195290131232117,"tld/tok/gbb/cmpy/Fs",5
"GO:1903532","GO:1903532","positive regulation of secretion by cell","5/541","36/10683",0.033668166291813,0.033668166291813,0.195290131232117,"Rab27/JhI-21/CG34402/corn/Flo2",5
"GO:0035168","GO:0035168","larval lymph gland hemocyte differentiation","4/541","25/10683",0.0353041293876439,0.0353041293876439,0.202190683966432,"kn/ush/N/pyr",4
"GO:0040018","GO:0040018","positive regulation of multicellular organism growth","4/541","25/10683",0.0353041293876439,0.0353041293876439,0.202190683966432,"tsl/ey/sNPF/Ilp2",4
"GO:0099173","GO:0099173","postsynapse organization","4/541","25/10683",0.0353041293876439,0.0353041293876439,0.202190683966432,"Ten-m/Fur1/CG42673/Neto",4
"GO:0110116","GO:0110116","regulation of compound eye photoreceptor cell differentiation","4/541","25/10683",0.0353041293876439,0.0353041293876439,0.202190683966432,"ed/ttk/pros/sv",4
"GO:0002697","GO:0002697","regulation of immune effector process","8/541","75/10683",0.0353117047541564,0.0353117047541564,0.202190683966432,"kay/ush/Spn27A/Toll-7/vvl/dl/dnr1/Tl",8
"GO:0051093","GO:0051093","negative regulation of developmental process","16/541","193/10683",0.0358255849948217,0.0358255849948217,0.20460711970052,"ed/fkh/gt/numb/ttk/ush/pros/N/hdc/Spn/Him/erm/Ilp2/Octbeta1R/kibra/Tl",16
"GO:0071417","GO:0071417","cellular response to organonitrogen compound","11/541","118/10683",0.0365865790423835,0.0365865790423835,0.208083439112321,"fkh/Galphaf/Dop1R1/melt/JhI-21/CG15399/Ilp2/TyrR/Ilp7/Tl/Dop1R2",11
"GO:0002164","GO:0002164","larval development","14/541","163/10683",0.0369671652828354,0.0369671652828354,0.208083439112321,"D/fz/kn/ush/rho/N/trn/caps/sns/gbb/SoxN/pyr/verm/Tl",14
"GO:0007200","GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway","3/541","15/10683",0.0372795096936167,0.0372795096936167,0.208083439112321,"Oamb/TyrR/Ggamma30A",3
"GO:0016201","GO:0016201","synaptic target inhibition","3/541","15/10683",0.0372795096936167,0.0372795096936167,0.208083439112321,"Wnt4/beat-IIIc/Tl",3
"GO:0031102","GO:0031102","neuron projection regeneration","3/541","15/10683",0.0372795096936167,0.0372795096936167,0.208083439112321,"kay/ttk/Hr51",3
"GO:0045773","GO:0045773","positive regulation of axon extension","3/541","15/10683",0.0372795096936167,0.0372795096936167,0.208083439112321,"fz/pk/Hr51",3
"GO:0046058","GO:0046058","cAMP metabolic process","3/541","15/10683",0.0372795096936167,0.0372795096936167,0.208083439112321,"rut/Pde11/CG43373",3
"GO:0048056","GO:0048056","R3/R4 cell differentiation","3/541","15/10683",0.0372795096936167,0.0372795096936167,0.208083439112321,"fz/kay/N",3
"GO:1903828","GO:1903828","negative regulation of protein localization","3/541","15/10683",0.0372795096936167,0.0372795096936167,0.208083439112321,"rho/cmpy/rdx",3
"GO:0051047","GO:0051047","positive regulation of secretion","5/541","37/10683",0.037368481504103,0.037368481504103,0.208083439112321,"Rab27/JhI-21/CG34402/corn/Flo2",5
"GO:0010975","GO:0010975","regulation of neuron projection development","10/541","104/10683",0.0375587696289456,0.0375587696289456,0.20862148978829,"fz/kn/pk/pros/Ret/NetB/Dscam1/Hr51/Trim9/vvl",10
"GO:0010557","GO:0010557","positive regulation of macromolecule biosynthetic process","32/541","456/10683",0.0378893885276579,0.0378893885276579,0.209934396764923,"bi/D/fkh/tj/hth/kay/kn/ttk/tup/ush/pros/N/sim/ey/sv/byn/cutlet/apt/toy/SoxN/Hr51/e(y)2b/Sox21b/CG31008/vvl/dl/TfAP-2/trh/CG9932/Tl/Tet/rgr",32
"GO:0001894","GO:0001894","tissue homeostasis","7/541","63/10683",0.0392055023721041,0.0392055023721041,0.21615123246319,"tup/ush/mew/rho/N/Lac/rdgA",7
"GO:0090287","GO:0090287","regulation of cellular response to growth factor stimulus","7/541","63/10683",0.0392055023721041,0.0392055023721041,0.21615123246319,"tld/tok/brk/Mmp2/cmpy/dlp/Fs",7
"GO:0048754","GO:0048754","branching morphogenesis of an epithelial tube","6/541","50/10683",0.0394296309722069,0.0394296309722069,0.216316046505548,"ed/ttk/hdc/trn/caps/form3",6
"GO:0060446","GO:0060446","branching involved in open tracheal system development","6/541","50/10683",0.0394296309722069,0.0394296309722069,0.216316046505548,"ed/ttk/hdc/trn/caps/form3",6
"GO:0007469","GO:0007469","antennal development","4/541","26/10683",0.0401093050296474,0.0401093050296474,0.218430805411746,"Poxn/hid/dac/danr",4
"GO:0050806","GO:0050806","positive regulation of synaptic transmission","4/541","26/10683",0.0401093050296474,0.0401093050296474,0.218430805411746,"gbb/FMRFaR/Dysb/CG34402",4
"GO:0050953","GO:0050953","sensory perception of light stimulus","4/541","26/10683",0.0401093050296474,0.0401093050296474,0.218430805411746,"inaC/cry/Trpgamma/Rh7",4
